MN00281_125_000H2YG2H_1_11101_1094_1669	ambig
MN00281_125_000H2YG2H_1_11101_2612_2662	ambig
MN00281_125_000H2YG2H_1_11101_26164_4496	ambig
MN00281_125_000H2YG2H_1_11101_10687_7099	ambig
MN00281_125_000H2YG2H_1_11101_21727_10855	ambig
MN00281_125_000H2YG2H_1_11101_1094_11384	ambig
MN00281_125_000H2YG2H_1_11101_18244_15302	ambig
MN00281_125_000H2YG2H_1_11102_20239_1163	ambig
MN00281_125_000H2YG2H_1_11102_1567_3910	ambig
MN00281_125_000H2YG2H_1_11102_11400_12619	ambig
MN00281_125_000H2YG2H_1_11102_24537_13832	ambig
MN00281_125_000H2YG2H_1_11102_1382_17384	ambig
MN00281_125_000H2YG2H_1_11103_11437_1126	ambig
MN00281_125_000H2YG2H_1_11103_2282_1135	ambig
MN00281_125_000H2YG2H_1_11103_9277_1151	ambig
MN00281_125_000H2YG2H_1_11103_6676_3725	ambig
MN00281_125_000H2YG2H_1_11103_7458_9558	ambig
MN00281_125_000H2YG2H_1_11103_15656_11706	ambig
MN00281_125_000H2YG2H_1_11103_8507_12049	ambig
MN00281_125_000H2YG2H_1_11103_8679_12160	ambig
MN00281_125_000H2YG2H_1_11103_14808_15362	ambig
MN00281_125_000H2YG2H_1_11103_21055_16089	ambig
MN00281_125_000H2YG2H_1_11103_3506_19222	ambig
MN00281_125_000H2YG2H_1_11103_22160_19989	ambig
MN00281_125_000H2YG2H_1_11103_7289_20272	ambig
MN00281_125_000H2YG2H_1_11104_3426_1074	ambig
MN00281_125_000H2YG2H_1_11104_19609_1090	ambig
MN00281_125_000H2YG2H_1_11104_18514_1110	ambig
MN00281_125_000H2YG2H_1_11104_7698_4496	ambig
MN00281_125_000H2YG2H_1_11104_24677_4562	ambig
MN00281_125_000H2YG2H_1_11104_20979_4873	ambig
MN00281_125_000H2YG2H_1_11104_10501_9113	ambig
MN00281_125_000H2YG2H_1_11104_16288_9656	ambig
MN00281_125_000H2YG2H_1_11104_13524_10769	ambig
MN00281_125_000H2YG2H_1_11104_25767_19871	ambig
MN00281_125_000H2YG2H_1_11104_6017_20395	ambig
MN00281_125_000H2YG2H_1_12101_5623_4361	ambig
MN00281_125_000H2YG2H_1_12101_26223_5788	ambig
MN00281_125_000H2YG2H_1_12101_16199_9980	ambig
MN00281_125_000H2YG2H_1_12101_1034_10450	ambig
MN00281_125_000H2YG2H_1_12101_2983_18623	ambig
MN00281_125_000H2YG2H_1_12102_25520_1332	ambig
MN00281_125_000H2YG2H_1_12102_14321_2501	ambig
MN00281_125_000H2YG2H_1_12102_14271_3520	ambig
MN00281_125_000H2YG2H_1_12102_15156_13219	ambig
MN00281_125_000H2YG2H_1_12102_2507_17124	ambig
MN00281_125_000H2YG2H_1_12102_25675_17895	ambig
MN00281_125_000H2YG2H_1_12102_16509_19227	ambig
MN00281_125_000H2YG2H_1_12103_21953_1096	ambig
MN00281_125_000H2YG2H_1_12103_20014_3586	ambig
MN00281_125_000H2YG2H_1_12103_4811_11471	ambig
MN00281_125_000H2YG2H_1_12103_1936_14372	ambig
MN00281_125_000H2YG2H_1_12103_4181_18726	ambig
MN00281_125_000H2YG2H_1_12104_25472_1074	ambig
MN00281_125_000H2YG2H_1_12104_18308_1075	ambig
MN00281_125_000H2YG2H_1_12104_15388_1101	ambig
MN00281_125_000H2YG2H_1_12104_9278_1336	ambig
MN00281_125_000H2YG2H_1_12104_4817_3981	ambig
MN00281_125_000H2YG2H_1_12104_25417_4894	ambig
MN00281_125_000H2YG2H_1_12104_3128_15465	ambig
MN00281_125_000H2YG2H_1_12104_15291_15618	ambig
MN00281_125_000H2YG2H_1_12104_17470_15821	ambig
